da_id,population_2016,population_0_to_14,percent_children
35180557,494,70,0.1417
35191289,11132,2935,0.2637
35180907,450,80,0.1778
35150088,432,65,0.1505
35110123,477,65,0.1363
35201614,655,125,0.1908
35200262,525,80,0.1524
35140165,496,35,0.0706
35130061,1223,95,0.0777
35060515,1093,55,0.0503
35191124,1077,200,0.1857
35430561,431,50,0.116
35260060,456,70,0.1535
35400161,376,90,0.2394
35431012,393,70,0.1781
35370229,464,95,0.2047
35580073,446,70,0.157
35370253,364,55,0.1511
35210173,504,85,0.1687
35204901,1014,55,0.0542
35240662,2357,195,0.0827
35320219,504,130,0.2579
35211246,683,145,0.2123
35580086,447,50,0.1119
35300432,533,65,0.122
35061271,1071,150,0.1401
35200960,380,55,0.1447
35202616,550,95,0.1727
35180784,494,80,0.1619
35203401,280,35,0.125
35200139,371,45,0.1213
35200899,427,25,0.0585
35090205,672,110,0.1637
35191286,399,35,0.0877
35200663,289,60,0.2076
35060483,239,15,0.0628
35060512,491,80,0.1629
35190397,1629,200,0.1228
35390026,484,70,0.1446
35520113,508,60,0.1181
35211108,838,150,0.179
35370764,503,85,0.169
35260629,530,75,0.1415
35300231,505,65,0.1287
35390091,805,150,0.1863
35260764,728,100,0.1374
35230055,511,80,0.1566
35260247,702,90,0.1282
35250716,590,90,0.1525
35240825,721,220,0.3051
35431366,946,165,0.1744
35250210,453,40,0.0883
35191365,2777,740,0.2665
35203339,413,65,0.1574
35060324,518,45,0.0869
35010395,0,NULL,NULL
35201054,665,25,0.0376
35202510,942,130,0.138
35230486,499,115,0.2305
35420252,514,65,0.1265
35300549,390,50,0.1282
35300217,406,NULL,NULL
35290069,393,80,0.2036
35440165,528,45,0.0852
35590112,177,40,0.226
35260377,524,60,0.1145
35300377,684,85,0.1243
35250444,529,55,0.104
35390125,584,105,0.1798
35203285,505,70,0.1386
35202165,929,140,0.1507
35191096,668,70,0.1048
35190350,441,60,0.1361
35060741,377,75,0.1989
35190941,401,45,0.1122
35370800,833,185,0.2221
35202343,515,115,0.2233
35320208,752,90,0.1197
35430756,480,55,0.1146
35430682,615,115,0.187
35240913,600,165,0.275
35260370,650,110,0.1692
35580060,502,65,0.1295
35390287,669,115,0.1719
35431240,569,100,0.1757
35210938,903,150,0.1661
35060915,509,95,0.1866
35061113,860,145,0.1686
35181120,1274,215,0.1688
35190376,872,115,0.1319
35160205,695,100,0.1439
35060521,679,85,0.1252
35181201,480,115,0.2396
35250848,1184,145,0.1225
35410210,672,125,0.186
35431023,590,75,0.1271
35211462,7122,860,0.1208
35590102,5,NULL,NULL
35211522,606,80,0.132
35210737,359,50,0.1393
35340158,622,150,0.2412
35251001,602,100,0.1661
35230470,513,85,0.1657
35210334,306,40,0.1307
35210413,656,85,0.1296
35240375,618,140,0.2265
35100069,806,80,0.0993
35202162,694,115,0.1657
35060197,1298,85,0.0655
35191268,279,35,0.1254
35061646,520,120,0.2308
35140219,360,35,0.0972
35310148,480,65,0.1354
35370223,450,75,0.1667
35250884,583,125,0.2144
35300222,277,30,0.1083
35600270,194,65,0.3351
35240908,1425,440,0.3088
35580197,387,75,0.1938
35300370,625,45,0.072
35250749,472,55,0.1165
35390135,415,75,0.1807
35203421,740,110,0.1486
35200727,508,100,0.1969
35203059,302,40,0.1325
35190208,785,105,0.1338
35181023,516,135,0.2616
35200321,720,85,0.1181
35060793,327,50,0.1529
35211963,3247,620,0.1909
35410150,891,70,0.0786
35211772,610,115,0.1885
35260649,554,80,0.1444
35211932,651,125,0.192
35310196,538,95,0.1766
35150318,927,120,0.1294
35190329,1011,110,0.1088
35060738,465,65,0.1398
35190818,626,130,0.2077
35201736,1685,410,0.2433
35202998,528,65,0.1231
35200435,406,70,0.1724
35380259,447,90,0.2013
35440211,1065,135,0.1268
35211764,846,200,0.2364
35530381,2296,315,0.1372
35570314,626,95,0.1518
35431248,597,45,0.0754
35202522,508,70,0.1378
35061562,1108,245,0.2211
35202304,634,125,0.1972
35191146,465,70,0.1505
35202498,585,65,0.1111
35061566,1189,225,0.1892
35201493,706,160,0.2266
35210109,436,65,0.1491
35204477,476,60,0.1261
35230293,503,85,0.169
35180637,614,75,0.1221
35200280,961,170,0.1769
35201652,543,85,0.1565
35061494,574,135,0.2352
35140121,523,75,0.1434
35201919,453,100,0.2208
35260099,398,35,0.0879
35431116,570,95,0.1667
35230347,496,85,0.1714
35370856,485,70,0.1443
35380178,491,90,0.1833
35580129,407,65,0.1597
35250746,361,40,0.1108
35340035,411,70,0.1703
35100186,368,35,0.0951
35190635,506,30,0.0593
35090144,605,130,0.2149
35061737,804,225,0.2799
35203041,874,140,0.1602
35180423,643,90,0.14
35300841,360,40,0.1111
35380129,434,45,0.1037
35280197,439,65,0.1481
35390926,905,220,0.2431
35250040,490,90,0.1837
35431311,420,30,0.0714
35250406,662,45,0.068
35520132,474,85,0.1793
35250509,573,75,0.1309
35020154,535,105,0.1963
35061128,458,95,0.2074
35250526,1299,295,0.2271
35211576,506,60,0.1186
35240573,798,130,0.1629
35420215,630,105,0.1667
35590076,389,60,0.1542
35430584,412,65,0.1578
35250643,551,70,0.127
35250976,321,45,0.1402
35211824,614,100,0.1629
35211148,403,50,0.1241
35210488,561,75,0.1337
35290273,443,75,0.1693
35010193,327,45,0.1376
35201620,800,100,0.125
35191083,1041,140,0.1345
35204267,2189,430,0.1964
35140213,390,70,0.1795
35190153,1080,145,0.1343
35530276,454,70,0.1542
35211755,542,95,0.1753
35420174,508,90,0.1772
35210945,773,135,0.1746
35370676,575,75,0.1304
35204312,1359,130,0.0957
35180943,82,15,0.1829
35203035,633,100,0.158
35190396,544,85,0.1563
35260665,536,65,0.1213
35260513,492,80,0.1626
35370390,429,60,0.1399
35230419,468,60,0.1282
35390914,918,200,0.2179
35370114,426,65,0.1526
35300357,620,55,0.0887
35230114,642,110,0.1713
35260025,574,100,0.1742
35320262,543,100,0.1842
35400118,451,70,0.1552
35201142,521,85,0.1631
35180734,488,45,0.0922
35180651,470,60,0.1277
35203294,619,70,0.1131
35240542,476,35,0.0735
35204487,1717,195,0.1136
35300341,586,80,0.1365
35300662,591,85,0.1438
35420171,464,30,0.0647
35360493,233,50,0.2146
35300857,679,180,0.2651
35260339,579,125,0.2159
35203724,510,85,0.1667
35120285,565,100,0.177
35181092,609,230,0.3777
35202225,406,45,0.1108
35061818,875,180,0.2057
35400162,422,50,0.1185
35431253,5,NULL,NULL
35204890,462,50,0.1082
35430917,733,80,0.1091
35390742,584,105,0.1798
35090183,563,95,0.1687
35200728,1060,175,0.1651
35070267,540,95,0.1759
35202003,1125,235,0.2089
35300130,374,35,0.0936
35240247,328,40,0.122
35211508,764,110,0.144
35211870,2136,450,0.2107
35390658,400,60,0.15
35370761,668,115,0.1722
35211746,554,135,0.2437
35380195,509,60,0.1179
35340199,723,115,0.1591
35280348,560,95,0.1696
35300268,675,140,0.2074
35300269,548,60,0.1095
35060905,609,75,0.1232
35190054,628,80,0.1274
35190728,544,100,0.1838
35100133,777,120,0.1544
35203503,4167,790,0.1896
35210506,457,60,0.1313
35280242,479,70,0.1461
35370754,714,90,0.1261
35570086,403,105,0.2605
35420305,439,70,0.1595
35430715,550,80,0.1455
35370574,1080,275,0.2546
35060563,241,70,0.2905
35203111,550,90,0.1636
35190986,919,115,0.1251
35200648,512,55,0.1074
35204130,412,65,0.1578
35180884,290,20,0.069
35204201,1176,190,0.1616
35060823,379,60,0.1583
35300138,319,35,0.1097
35211586,84,10,0.119
35260096,449,55,0.1225
35204815,1055,75,0.0711
35280265,483,80,0.1656
35230327,442,75,0.1697
35204722,1456,220,0.1511
35204180,865,100,0.1156
35190905,547,70,0.128
35190130,415,105,0.253
35200811,981,195,0.1988
35180200,450,65,0.1444
35390021,364,70,0.1923
35340196,535,100,0.1869
35310139,702,110,0.1567
35211668,534,110,0.206
35230338,511,65,0.1272
35580166,477,90,0.1887
35280289,471,110,0.2335
35420281,520,115,0.2212
35230284,600,135,0.225
35210844,1095,140,0.1279
35431061,438,5,0.0114
35570155,729,125,0.1715
35290245,417,70,0.1679
35190102,436,75,0.172
35010336,551,90,0.1633
35380122,404,60,0.1485
35210100,574,95,0.1655
35260597,762,50,0.0656
35390412,379,70,0.1847
35250646,888,180,0.2027
35210766,726,145,0.1997
35251023,972,255,0.2623
35150294,537,85,0.1583
35203766,1286,275,0.2138
35203403,2382,395,0.1658
35180992,365,85,0.2329
35150216,360,50,0.1389
35600341,0,NULL,NULL
35390623,307,40,0.1303
35204437,601,90,0.1498
35310126,587,95,0.1618
35430750,496,85,0.1714
35210002,484,85,0.1756
35580143,593,55,0.0927
35290140,546,110,0.2015
35370151,502,65,0.1295
35210397,339,70,0.2065
35360308,446,75,0.1682
35250196,573,125,0.2182
35010234,498,80,0.1606
35190914,501,75,0.1497
35203634,536,80,0.1493
35440193,601,100,0.1664
35480219,637,95,0.1491
35240509,895,90,0.1006
35400205,590,35,0.0593
35400189,469,60,0.1279
35360462,131,15,0.1145
35240327,462,55,0.119
35470282,557,65,0.1167
35370335,601,70,0.1165
35212159,329,55,0.1672
35202727,604,130,0.2152
35100144,422,50,0.1185
35140167,540,85,0.1574
35200769,448,20,0.0446
35202084,402,75,0.1866
35204178,734,85,0.1158
35410146,572,60,0.1049
35210598,185,25,0.1351
35580052,522,60,0.1149
35300036,504,75,0.1488
35190129,705,95,0.1348
35200999,547,65,0.1188
35390848,419,85,0.2029
35280190,619,75,0.1212
35210282,499,70,0.1403
35201855,374,65,0.1738
35120303,820,75,0.0915
35180477,419,65,0.1551
35060669,621,100,0.161
35300726,604,140,0.2318
35260140,479,65,0.1357
35570116,573,70,0.1222
35340155,493,130,0.2637
35370724,632,120,0.1899
